Image_ID,Image_Width,Image_Height,Total_Attention_Intensity,Max_Saliency_Peak,Attention_Density,Text_Count,Text_Area_Ratio,Attention_Ratio,Avg_Text_Saliency,Clutter_Index,Dominant_Quadrant
438,720,720,16909121.0,228.0,73838.96,2,0.09404,6.24538,136.419,68.209,Q1_TopLeft
454,720,720,12127692.0,218.0,55377.59,6,0.09149,5.47044,90.829,15.138,Q4_BottomRight
800,720,720,13875776.0,248.0,55726.01,3,0.02354,5.5626,134.451,44.817,Q3_BottomLeft
946,720,720,11103456.0,206.0,53639.88,15,0.07142,2.25995,44.409,2.961,Q1_TopLeft
725,720,720,13698787.0,212.0,64313.55,9,0.11334,4.29417,82.625,9.181,Q3_BottomLeft
735,720,720,11150942.0,187.0,59313.52,16,0.33514,3.27678,39.979,2.499,Q1_TopLeft
545,720,720,8455364.0,201.0,41858.24,2,0.05734,2.24566,34.186,17.093,Q4_BottomRight
582,720,720,10469387.0,237.0,43989.02,0,0.0,,,,NoText
114,720,720,8779238.0,228.0,38337.28,10,0.1335,4.8594,54.312,5.431,Q4_BottomRight
64,720,720,11311780.0,220.0,51184.52,19,0.19814,6.25226,66.854,3.519,Q4_BottomRight
434,720,720,14080739.0,236.0,59412.4,7,0.11886,2.46509,57.026,8.147,Q2_TopRight
72,720,720,10041509.0,232.0,43096.61,18,0.1773,7.28761,66.75,3.708,Q3_BottomLeft
151,720,720,9163801.0,245.0,37251.22,12,0.09705,8.62421,87.619,7.302,Q4_BottomRight
353,720,720,12191732.0,234.0,51879.71,6,0.13604,2.60223,50.247,8.375,Q3_BottomLeft
408,720,720,12797035.0,236.0,53995.93,3,0.04498,6.01113,121.094,40.365,Q1_TopLeft
190,720,720,11806429.0,215.0,54659.39,10,0.26188,3.73905,49.587,4.959,Q4_BottomRight
825,720,720,12967059.0,220.0,58674.48,15,0.27543,1.93349,38.472,2.565,Q3_BottomLeft
109,720,720,10186234.0,217.0,46725.84,20,0.36282,2.52588,31.946,1.597,Q3_BottomLeft
357,720,720,13946175.0,224.0,61983.0,9,0.11024,6.17046,105.733,11.748,Q4_BottomRight
616,720,720,8385011.0,223.0,37433.08,15,0.13905,2.38589,32.356,2.157,Q4_BottomRight
125,720,720,10966864.0,205.0,53237.2,25,0.18562,3.46417,50.285,2.011,Q3_BottomLeft
602,720,720,11915932.0,229.0,51808.4,8,0.02148,7.30572,147.897,18.487,Q4_BottomRight
87,720,720,10476622.0,204.0,51105.47,19,0.21068,6.08831,59.383,3.125,Q4_BottomRight
891,720,720,14366854.0,208.0,68740.93,3,0.05698,5.26067,117.313,39.104,Q1_TopLeft
941,720,720,9345952.0,231.0,40284.28,0,0.0,,,,NoText
165,720,720,8905943.0,191.0,46385.12,7,0.03373,3.15923,50.59,7.227,Q4_BottomRight
69,720,720,8778985.0,211.0,41410.31,27,0.21722,3.94753,40.756,1.509,Q3_BottomLeft
923,720,720,10337619.0,200.0,51430.94,10,0.21758,2.68826,39.206,3.921,Q1_TopLeft
627,720,720,7118352.0,205.0,34555.11,0,0.0,,,,NoText
691,720,720,12248388.0,234.0,52120.8,10,0.18321,5.16527,69.219,6.922,Q4_BottomRight
256,720,720,8901275.0,241.0,36782.13,2,0.06688,12.3651,120.628,60.314,Q1_TopLeft
675,720,720,10862344.0,213.0,50758.62,14,0.55435,0.0,39.696,2.835,Q1_TopLeft
684,720,720,10662554.0,208.0,51017.0,11,0.17998,4.16758,54.595,4.963,Q1_TopLeft
343,720,720,11844949.0,249.0,47379.8,10,0.08851,5.75658,92.563,9.256,Q1_TopLeft
726,720,720,13192574.0,206.0,63732.24,10,0.14797,5.08141,80.624,8.062,Q2_TopRight
290,720,720,12234003.0,222.0,54861.0,1,0.00425,0.0,0.0,0.0,Q2_TopRight
476,720,720,10474017.0,228.0,45738.07,14,0.1312,7.84511,83.509,5.965,Q3_BottomLeft
809,720,720,9395565.0,175.0,53383.89,6,0.03095,0.6144,11.27,1.878,Q2_TopRight
272,720,720,11316275.0,232.0,48567.7,5,0.03283,5.55288,105.453,21.091,Q2_TopRight
366,720,720,16343273.0,241.0,67534.19,4,0.06279,6.03866,144.622,36.155,Q2_TopRight
930,720,720,10174794.0,225.0,45021.21,2,0.00884,1.4108,27.59,13.795,Q3_BottomLeft
148,720,720,10720740.0,215.0,49633.06,24,0.26148,5.92878,53.57,2.232,Q4_BottomRight
211,720,720,7917665.0,221.0,35665.16,19,0.05624,4.89352,61.314,3.227,Q4_BottomRight
